id,phone,passport,full_name,address,tariff,balance
1,+74951512280,4003 986335,Тимофеева Екатерина Ивановна,"г.Тольятти,ул.Озерная,29,оф. 18",Black,100
2,+74954480455,9588 764215,Богданов Владислав Иванович,"г. Уфа,ул. Гагарина,27,оф. 88",Стандарт,200
3,+74958989405,8235 663724,Рожкова Агния Данииловна,"г. Красноярск,ул. Красная,15,оф. 68",Эконом,30
4,+74950830551,4823 330645,Бирюкова Александра Никитична,"г. Москва,ул. Комарова,25,оф. 3",Богач,500
5,+74950293192,1162 006264,Сухов Сергей Тимофеевич,"г. Екатеринбург,ул. Трудовая,18,оф. 95",Black,350
6,+74954169615,9836 417450,Смирнов Андрей Тимофеевич,"г. Тюмень,ул. Северная,34,оф. 34",Стандарт,700
7,+74950345404,6707 240493,Евдокимов Эмиль Ярославович,"г. Челябинск,ул. Чехова,29,оф. 29",Эконом,50
8,+74958743350,6305 863098,Жданов Денис Никитич,"г. Тюмень,ул. Родниковая,46,оф. 13",Богач,700
9,+74958989905,5638 176048,Кондратьев Никита Максимович,"г. Ростов-на-Дону,ул. Родниковая,44,оф. 77",Эконом,770
10,+74951138383,7556 750213,Назаров Артём Данилович,"г. Саратов,ул. Чапаева,25,оф. 47",Black,850
11,+74952706741,5724 230557,Нечаев Иван Андреевич,"г. Екатеринбург,ул. Мира,14,оф. 61",Стандарт,900
12,+74952595190,7909 428286,Федотова Алиса Михайловна,"г. Пермь,ул. Спортивная,5,оф. 17",Эконом,1050
13,+74959899843,0624 541584,Никитина Вера Дмитриевна,"г. Тольятти,ул. Северная,46,оф. 64",Богач,300
14,+74956689514,6444 382438,Рябова Юлия Егоровна,"г. Ростов-на-Дону,ул. Нагорная,28,оф. 29",Эконом,350
15,+74959447953,2229 597984,Константинова Ульяна Львовна,"г. Краснодар,ул. Спортивная,11,оф. 97",Black,450
16,+74951272281,8323 681302,Максимова Мария Алексеевна,"г. Саратов,ул. Колхозная,42,оф. 55",Стандарт,800
17,+74956015546,9746 252180,Никулин Анатолий Давидович,"г. Новосибирск,ул. Рабочая,42,оф. 7",Эконом,740
18,+74951417664,5140 374742,Карпова Лидия Александровна,"г. Екатеринбург,ул. Маяковского,1,оф. 36",Богач,650
19,+74950930462,1950 850897,Евдокимов Андрей Дмитриевич,"г. Тольятти,ул. Луговая,5,оф. 86",Эконом,900
20,+74959982704,4455 018827,Литвинов Тимур Артемьевич,"г. Тольятти,ул. Дорожная,2,оф. 93",Black,1000
21,+74950596058,9557 969795,Константинова Мария Тимуровна,"г. Уфа,ул. Некрасова,13,оф. 8",Стандарт,350
22,+74950087634,3230 423651,Калмыкова Екатерина Львовна,"г. Краснодар,ул. Калинина,48,оф. 87",Эконом,550
23,+74952777493,7853 276340,Грачева Мария Александровна,"г. Тольятти,ул. Красная,1,оф. 71",Богач,560
24,+74959167101,3428 608544,Федоров Александр Даниилович,"г. Челябинск,ул. Центральная,46,оф. 92",Эконом,660
25,+74956186778,9464 008101,Поляков Ярослав Миронович,"г. Волгоград,ул. Новая,3,оф. 46",Black,650
26,+74957753090,9674 269453,Тимофеев Тимофей Борисович,"г. Ростов-на-Дону,ул. Набережная,12,оф. 100",Стандарт,250
27,+74957812746,7543 610264,Мельникова Алеся Саввична,"г. Волгоград,ул. Комсомольская,21,оф. 48",Эконом,
28,+74956338441,0545 737001,Елисеев Платон Олегович,"г. Тюмень,ул. Лермонтова,28,оф. 45",Богач,
29,+74956073751,4929 907625,Прохоров Роман Максимович,"г. Самара,ул. Южная,16,оф. 52",Эконом,
30,+74953783787,1106 290244,Козлова София Артёмовна,"г. Пермь,ул. Лесная,39,оф. 88",Black,
